"","10","11","12","20","30","40","50","60","70","150","230","290","300","440","470","490","495","510","530","534","540","570","580","590","630","634","640","650","690","700","740","770","800","1180","1200","1205","1207","1210","1220","1230","1250","1260","1280","1290","1310","1320","1330","1331","1340","1350","1370","1390","1400","1410","1420","1430","1440","1460","1470","1490","1500","1510","1520","1530","1550","1670","1720","1770","1780","1782","1810","1830","1840","1860","1861","1870","1880","1900","1910","1920","1940","1945","1960","1970","1980","1990","2000","2001","2010","2020","2030","2035","2060","2070","2080","2110","2111","2120","2140","2150","2160","2180","2190","2210","2240","2250","2260","2280","2300","2490","2580","2610","2630","2640","2730","2780","2810","2860","2870","2881","2882","2890","2920","2930","2940","2950","2960","2970","2971","2973","2980","3000","3050","3070","3080","3089","3090","3091","3100","3110","3120","3131","3140","3152","3160","3180","3190","3200","3210","3250","3255","3260","3270","3280","3290","3300","3310","3320","3330","3333","3340","3350","3370","3390","3400","3410","3420","3430","3451","3460","3480","3490","3520","3550","3560","3570","3600","3620","3640","3650","3660","3670","3680","3690","3700","3710","3720","3730","3732","3740","3750","3780","3790","3810","3830","3840","3850","3860","3870","3875","3880","3890","3900","3920","3930","3940","3950","3960","3970","3975","3990","4000","4010","4020","4021","4022","4030","4040","4050","4060","4070","4080","4090","4100","4110","4120","4123","4125","4130","4140","4160","4171","4172","4180","4190","4200","4205","4210","4220","4230","4240","4250","4260","4270","4280","4290","4295","4300","4310","4320","4330","4340","4360","4390","4402","4410","4430","4440","4447","4450","4451","4460","4461","4470","4480","4490","4510","4520","4530","4540","4550","4560","4570","4580","4590","4600","4610","4620","4630","4640","4641","4642","4650","4660","4661","4665","4670","4679","4680","4689","4690","4691","4710","4720","4740","4750","4760","4770","4780","4790","4810","4812","4813","4820","4830","4840","4860","4865","4870","4880","4881","4882","4890","4900","4910","4920","4930","4932","4940","4950","4960","4961","4970","4980","5000","5010","5011","5012","5030","5040","5050","5060","5070","5077","5080","5090","5100","5110","5120","5130","5135","5140","5150","5170","5180","5190","5195","5210","5212","5220","5290","5300","5310","5330","5380","5390","5400","5420","5450","5460","5470","5480","5490","5491","5500","5520","5540","5580","5600","5610","5620","5630","5650","5660","5670","5671","5677","5680","5690","5700","5730","5738","5739","5740","5750","5760","5780","5790","5800","5810","5830","5840","5850","5860","5870","5880","5900","5910","5911","5920","5930","5935","5940","5950","5960","5970","5980","5990","6000","6010","6040","6050","6070","6080","6090","6100","6110","6120","6121","6122","6130","6140","6150","6160","6170","6190","6200","6220","6230","6240","6260","6270","6280","6290","6291","6292","6300","6310","6320","6330","6340","6360","6370","6380","6390","6410","6420","6430","6440","6450","6460","6470","6480","6490","6500","6510","6520","6540","6550","6560","6570","6580","6590","6600","6610","6620","6630","6640","6650","6660","6670","6680","6685","6690","6710","6720","6730","6740","6750","6760","6770","6780","6790","6800","6810","6830","6840","6850","6860","6870","6880","6882","6883","6900","6970","7000","7010","7020","7030","7040","7050","7060","7070","7080","7100","7110","7120","7130","7150","7170","7180","7190","7210","7221","7222","7240","7250","7260","7270","7280","7290","7300","7310","7315","7320","7330","7331","7340","7350","7351","7352","7360","7370","7380","7400","7410","7420","7430","7460","7480","7490","7510","7520","7540","7550","7560","7580","7590","7610","7630","7660","7670","7680","10210","22860"
"FEATHERVILLE.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0
"FOX.PARK.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,19,0,0,2,0,0,0,10,3,0,0,0,4,0,0
"WARNER.VALLY.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
