U_S_R_I,HISTO_0,HISTO_11,HISTO_12,HISTO_21,HISTO_22,HISTO_23,HISTO_24,HISTO_31,HISTO_41,HISTO_42,HISTO_43,HISTO_52,HISTO_71,HISTO_81,HISTO_82,HISTO_90,HISTO_95
02_072,"0","76191","0","88416","15306","3224","816","438","589285","40888","44969","16652","20971","643723","212534","57799","5207"
02_001,"0","97679","0","115343","66958","22323","9037","3592","555374","74524","78369","69308","34449","409171","203119","70974","5849"
02_204,"0","57445","0","58780","22538","7203","2547","2360","852268","69487","121169","56606","45033","359497","103830","49057","8596"
02_073,"0","10581","0","37932","12120","3452","1393","811","1210700","29152","72154","34324","17757","226587","103452","49022","6975"
02_071,"0","145826","0","109295","66648","23097","9354","1569","321454","59926","59931","24991","27338","438502","385107","131668","11704"
02_007,"0","7773","0","76413","35850","8982","1719","572","992045","25951","59433","30470","19861","318605","185162","47768","5629"
02_203,"0","11654","0","222405","195194","66441","22908","1946","253261","49497","40288","8989","14014","401538","385497","135307","7478"
02_102,"0","121092","0","68879","24876","7415","1998","1355","262357","74917","51563","24665","27053","522938","401893","201032","24383"
02_006,"0","112046","0","135363","100893","44582","16056","2450","323042","82791","68693","13634","22870","425787","261301","192639","14096"
02_009,"0","124821","0","104226","36772","11729","4391","1452","408681","84358","161883","33017","54926","688109","94669","5583","1791"
02_058,"0","28216","0","99265","30973","8705","3858","2399","606379","194566","200937","61436","69957","461083","42532","4557","1549"
02_201,"0","30786","0","58614","19213","4190","1738","1537","692897","292413","182482","146166","66175","226899","40714","47550","4870"
02_046,"0","141146","0","113780","59080","17955","7621","2660","479472","60051","133033","29812","36974","657869","56991","16122","3837"
02_045,"0","12633","0","73699","23998","7490","3242","4304","626941","299227","204400","125943","69350","332349","15633","16562","643"
02_057,"0","14525","0","61561","9093","2347","750","1145","815754","302428","186670","32203","24773","288988","38932","33612","3633"
02_004,"0","71203","0","102293","38142","12237","5378","2331","645644","217045","155907","35941","30682","473106","13169","11744","1591"
02_008,"0","122269","0","74434","25980","4605","1467","5122","408887","294236","178237","78764","92424","326087","165617","32563","5726"
02_105,"0","13249","0","96469","32373","9498","2494","2432","493422","114370","153165","45596","50779","754072","39657","7147","1689"
02_207,"0","23196","0","96596","23873","6123","1506","4120","737281","198214","148582","53114","56511","439879","7268","18351","1626"
02_206,"0","73956","0","99927","21848","9369","1998","9403","507157","361690","242094","87278","108321","245092","2476","42912","2894"
02_016,"0","6226","0","88107","18411","6312","1874","5006","454318","365538","336373","148111","99342","154192","16119","109077","7411"
02_061,"0","20420","0","92399","24547","6122","1564","3730","748953","260371","142305","69703","63660","338793","4362","36986","2500"
02_205,"0","4386","0","78052","8700","1616","446","479","379833","257188","399787","157232","104489","125056","18122","259982","20877"
02_062,"0","7218","0","65270","21245","3974","1406","1277","738040","492931","159504","71371","67667","157463","17300","10594","816"
02_015,"0","14661","0","115721","34535","10757","1654","12206","604175","374846","261454","71813","78828","215358","1528","17808","904"
02_111,"0","8596","0","130460","57227","18779","6540","2652","762546","351797","148604","50187","56645","194585","19804","6291","1696"
02_013,"0","79612","0","121672","27097","12095","4836","6895","599075","333081","120781","82139","81023","280271","14064","49702","3743"
02_017,"0","41234","0","132823","51542","18459","7640","20234","488849","509032","283868","100368","89626","51165","275","20496","798"
02_019,"0","5564","0","76800","12330","2429","705","654","335659","241600","444994","129773","97046","163973","18581","268776","17361"
02_012,"0","11207","0","131576","40382","16397","6669","3100","786400","364291","98058","59001","66679","205448","15519","9535","1820"
02_208,"0","65290","0","135115","33825","14056","5729","3263","624628","366893","104532","69845","72641","236264","57313","24205","2820"
02_056,"0","60002","0","107856","33493","11330","4709","5215","518807","388895","113009","84714","77745","257649","74030","74593","4198"
02_060,"0","57068","0","102972","46834","22817","7712","13837","489603","439740","299046","128886","87732","73696","1952","42912","1605"
02_209,"0","49453","0","74718","22600","2789","739","3101","674951","435900","106645","74070","96301","268593","80","5930","546"
02_010,"0","26702","0","73331","6008","1646","492","2431","677790","544462","111930","91520","88789","172219","101","18482","516"
02_014,"0","38357","0","185724","118695","53136","15461","8005","567774","299796","122700","78000","70300","177992","20620","57102","2756"
02_047,"0","33294","0","95240","40836","20596","7231","2460","346628","213906","382097","113924","67079","145893","25829","305699","15702"
02_059,"0","26301","0","58764","8896","2831","516","1284","239286","343568","367034","102169","84846","134561","16666","402875","26818"
02_043,"0","19087","0","93150","20365","7067","2959","16765","457222","520317","265156","181070","115914","61264","68","54135","1874"
02_028,"0","80233","0","78695","33743","7145","3371","2798","402937","598725","134086","81337","75870","225797","617","88496","2563"
02_064,"0","34858","0","49918","3833","488","54","2174","693878","599718","132457","89964","126493","70901","143","11292","244"
02_049,"0","54385","0","50041","7815","1076","234","655","129505","275690","306973","68479","56796","303741","16113","505436","39472"
02_023,"0","21282","0","61340","5187","1336","284","1060","265789","474241","398488","144238","50074","165876","18328","199528","9362"
02_048,"0","67536","0","40819","9217","1002","194","2214","58902","194496","223138","29026","28893","574338","36184","511616","38672"
02_025,"0","33456","0","71329","23744","6024","1849","2587","397488","368100","205741","137888","125065","312991","17293","102627","10227"
02_051,"0","141217","0","73058","21440","3616","587","2438","505985","483482","204712","107815","81311","140972","5045","43599","1135"
02_026,"0","56260","0","134035","91655","51484","15717","17178","300776","208344","197629","55130","53597","292519","100911","225115","15900"
02_211,"0","44259","0","67668","24843","8917","2653","3090","255563","321203","211676","118707","91317","317312","74367","249728","25108"
02_063,"0","57920","0","51849","15484","4791","1372","4281","45528","269729","186112","55869","60431","595058","50042","394519","23257"
02_027,"0","15279","0","72047","28409","9996","2725","7457","188145","440686","420678","140163","41632","185651","33176","224921","5278"
02_210,"0","53693","0","43740","8177","1044","121","2434","52524","288781","183097","47576","59404","638315","107368","300469","29497"
02_212,"0","21903","0","93050","51946","18247","5993","2496","266812","462361","307672","161181","48585","139710","56358","176507","3593"
02_022,"0","58373","0","62934","15814","6052","1887","3122","86302","336012","161597","74950","52267","322446","81876","521995","30784"
02_029,"0","21643","0","40224","11864","2179","653","2406","241703","580597","292567","177088","57573","88165","88457","207518","3605"
02_065,"0","30126","0","51577","16797","4932","1095","10102","133609","309116","263939","88273","30997","410621","93279","357999","13952"
02_020,"0","5021","0","52191","4775","944","201","1149","107489","671927","391215","143763","141632","59004","717","226594","9789"
02_024,"0","21500","0","41902","6942","686","64","556","261765","428852","218351","85486","83105","426618","9859","222308","8426"
02_050,"0","23836","0","44347","6955","739","153","1617","290370","391530","142523","100615","66309","430425","50098","248481","18250"
02_021,"0","17133","0","44586","3774","1674","570","2423","85480","577304","313752","146765","112885","78267","10993","401675","18959"
02_215,"0","11220","0","64107","11799","2875","960","1164","322893","470440","316760","117895","106822","220012","22225","143264","3974"
02_036,"0","30161","0","47211","4945","755","231","1102","126645","624716","277365","128240","82195","99930","21084","358760","12907"
02_053,"0","4896","0","51453","6083","2779","960","1022","43921","820316","347175","184594","122136","30203","329","194812","5562"
02_055,"0","12073","0","54814","9041","1622","372","4662","82575","514565","366395","180900","66741","202306","108788","208662","2902"
02_039,"0","8242","0","59108","8263","2444","547","1449","25066","592696","419274","125718","119613","123118","4312","311793","14599"
02_033,"0","13593","0","66187","13746","5150","2130","1315","89440","485066","375174","139661","81346","245515","72235","220629","5234"
02_032,"0","16232","0","62617","11156","3090","1175","1680","60039","487348","394510","161558","55548","252371","103858","201927","3314"
02_214,"0","18770","0","51034","11060","3266","1521","3401","40545","649675","321973","131279","80268","73163","118563","301938","9961"
02_216,"0","95150","0","53269","15053","2841","428","5786","84432","567173","305602","162762","69090","86442","234050","131928","2237"
02_034,"0","14682","0","63855","7519","1801","306","564","83640","682575","317199","103640","141491","147854","41903","200272","8950"
02_030,"0","7774","0","103258","61368","22492","10201","549","30757","379623","205863","157418","39873","166208","442665","184291","3906"
02_067,"0","26597","0","78011","16849","4225","1548","1233","45384","637739","334599","97171","96680","232511","79880","159049","4951"
02_038,"0","3689","0","51634","14791","2654","759","8129","26587","637343","162313","207590","103874","135054","167656","284631","9718"
02_213,"0","14508","0","44031","7244","2047","1335","3730","3843","625594","198310","110211","127042","39688","8555","602367","27741"
02_037,"0","44000","0","33446","3709","316","56","3522","5755","610717","72131","89437","122066","26763","90772","664221","49335"
02_066,"0","11321","0","58088","20073","5329","1471","11712","16162","584186","100672","206697","100946","113609","124216","442515","19260"
02_052,"0","13538","0","53502","8146","1789","402","2795","4384","652123","191249","152885","141401","88107","9170","482949","13803"
02_031,"0","14950","0","77346","35834","10458","4327","1148","21282","355527","74247","80894","33394","93979","684242","322397","6391"
02_068,"0","13659","0","83569","16686","2686","745","718","9767","396484","24747","111324","26958","166315","551849","403138","7609"
02_054,"0","16168","0","73407","12492","1798","477","389","10822","630360","61812","177497","51822","180688","284959","303757","9640"
02_035,"0","11015","0","48469","5502","641","103","1892","28298","1022914","87253","162955","79963","54423","48364","258205","6259"
02_069,"0","25451","0","120476","36169","12270","2885","4938","3881","708036","72171","128307","120787","191992","65925","314697","8097"
02_218,"0","5869","0","71986","22239","7087","2041","1939","1429","666437","16913","212946","119425","150250","168851","362876","5958"
02_217,"0","197328","0","165366","74280","31585","9879","7110","1865","349646","26125","53368","47722","177614","115426","481682","77418"
02_142,"0","69063","0","98331","38175","11178","3325","7325","951","479261","9492","133290","77873","213919","300857","350171","23208"
02_070,"0","572709","0","118130","55562","23040","5722","12405","713","221034","8501","15629","28067","179053","329710","219932","26208"
02_140,"10545","1124649","0","57874","26930","14149","4016","11760","709","108328","9041","20731","18396","78476","59356","202961","68319"
02_041,"580004","601664","0","61727","41411","20300","5668","19315","213","103479","887","8115","15416","55949","130330","136637","35308"
06_002,"0","0","0","7276","590","46","6","5333","34","404998","4","1379683","18262","0","0","4","3"
06_101,"0","10","0","7851","108","1","0","1304","0","15443","0","1782517","8958","0","0","166","55"
06_053,"0","20103","2","16649","4727","2573","41","9882","2","476","0","1747802","11028","59","0","2514","379"
06_103,"0","4","0","10456","117","18","3","9279","0","6747","0","1745663","44123","0","0","2","0"
06_054,"0","197","0","6441","495","32","6","9334","26","65177","0","1678922","50175","52","11","2851","2693"
06_052,"0","301","0","3816","954","239","56","42786","2237","1175568","876","472094","115935","0","0","957","596"
06_105,"0","1269","0","8887","722","72","20","491","12122","948953","127","824507","17588","0","0","646","1003"
06_055,"0","3971","0","11870","718","138","1","9895","0","261034","0","1295367","221321","0","0","6008","6089"
06_004,"0","314","0","6000","515","96","5","11190","18","630951","0","1135813","31066","0","0","424","20"
06_051,"0","913","0","5058","540","73","7","84941","0","453442","0","1237882","33194","0","0","23","2"
06_003,"0","3","0","4389","1028","63","1","10426","0","5059","0","1625024","170106","0","0","232","78"
06_106,"0","18909","0","4167","2698","340","55","19357","0","26","4","1665524","104917","0","0","235","173"
06_011,"0","69","0","21936","5149","879","122","120","0","1335570","0","435103","16983","0","0","413","73"
06_010,"0","3","0","5911","1252","132","2","1218","0","336","0","1379086","418645","0","0","8352","1480"
06_061,"0","825","0","19129","2070","399","46","1143","0","150351","0","1532095","109138","0","0","654","567"
06_057,"0","0","0","14546","4100","98","0","15025","0","251115","0","1529436","1959","0","0","108","19"
06_009,"0","227","0","27553","14226","8091","1276","22693","19618","1036044","1259","437092","248055","0","0","0","284"
06_107,"0","6","0","8040","1648","159","18","1753","0","334574","0","1466885","2867","0","0","361","99"
06_060,"0","29","0","10118","2328","242","5","833","0","65541","0","1536262","195704","0","0","1850","3338"
06_108,"0","92","0","11576","4394","560","50","193","0","283232","0","1384994","130631","0","0","286","231"
06_059,"0","654","0","43544","11603","3525","542","4322","6980","1184932","837","402501","156351","0","0","52","404"
06_058,"0","1027","0","22553","8886","2826","503","435","331","1145565","0","555060","78100","0","0","68","892"
06_056,"0","8150","0","55776","42591","26178","6278","18709","4","438","5","1602400","16411","414","25524","10547","2983"
06_012,"0","20501","0","26436","39891","13192","1490","52037","13","192","6","1496213","2349","457","85954","58029","19653"
06_115,"0","741","0","15206","588","29","3","22","0","1293607","0","337055","166768","0","0","256","1969"
06_017,"0","224","0","16471","5852","289","2","15643","0","64540","0","1473306","236448","185","1","2913","536"
06_013,"0","62","0","7481","880","53","6","276","1960","40622","878","1756606","1471","104","157","5408","283"
06_064,"0","1108","0","43846","21904","11487","2664","122","0","383220","39","1267767","76375","1318","1841","2528","2200"
06_014,"0","1265","0","70224","39126","20386","4821","372","0","661935","0","848864","166410","296","243","1130","1348"
06_116,"0","214","0","26316","3416","961","257","3840","0","261392","0","1273268","242205","4350","1","155","38"
06_065,"0","360","0","34738","10754","3518","540","489","4","1307799","29","422164","35475","18","0","301","222"
06_066,"0","1760","0","40126","1785","210","41","38","0","1118166","0","404547","249361","0","0","297","79"
06_067,"0","2627","0","48778","10063","3850","946","124","1068","1243681","78","441791","58205","116","1","524","4388"
06_063,"0","6825","0","3383","613","30","0","7196","1470","182","266","1775862","7102","315","1452","10427","965"
06_073,"0","5849","0","9500","1467","130","18","482","9748","1015573","881","548720","213334","0","0","442","10099"
06_071,"0","15368","0","67528","49413","14116","1110","2092","0","6598","59","1637891","9226","40","1378","8886","2704"
06_020,"0","38118","0","101796","106956","86943","14960","1381","0","635","8","1443339","18146","42","1424","2048","618"
06_123,"0","754","0","7982","821","90","13","76","1732","1279852","1518","474064","43914","0","0","659","4938"
06_122,"0","57958","0","7634","1953","364","47","357","0","156633","17","1450820","128882","0","0","5965","5784"
06_018,"0","0","0","7747","8031","3309","544","245814","0","24","0","1548961","1811","0","0","0","0"
06_119,"0","48","0","22114","9460","2380","270","245082","0","0","0","1465687","12228","3650","54815","603","81"
06_070,"0","6136","0","38421","13987","7189","2718","67182","0","0","0","1098407","334822","2484","201951","42116","1005"
06_068,"0","13050","0","9117","10941","1211","68","156416","165","0","112","1195802","28903","12438","322182","59103","6729"
06_072,"0","13521","0","15797","9793","2496","324","147","0","71606","3","1641989","18921","18","729","20022","21045"
06_069,"0","130","0","10796","1762","1732","72","209265","0","0","0","1323547","172529","257","91295","3690","1169"
06_121,"0","1858","0","24542","10721","4892","1067","16694","0","0","0","1429035","170098","3483","145586","7875","568"
06_127,"0","2354","0","68782","36357","17672","4107","25991","0","0","0","865869","296721","4497","479382","5418","9095"
06_025,"0","173","0","25661","6748","463","290","383900","37","0","92","1217229","35277","6015","120389","13661","6480"
06_024,"0","11151","0","35518","27110","19716","4449","345423","134","4","101","1027946","74642","8821","217173","30489","13565"
06_079,"0","717","0","18056","7340","1955","336","1642","588","319670","476","1036032","372964","110","55707","673","151"
06_074,"41612","13601","0","69291","67965","48515","12832","519141","134","19","109","443671","34435","8667","513055","32179","11012"
06_077,"0","141","0","31486","7167","1355","438","17447","1","0","0","1403265","138635","347","190223","22788","3121"
06_026,"0","376","0","4524","6915","2092","181","29486","0","0","0","1534582","236845","0","30","1074","323"
06_078,"0","19","0","6231","899","15","0","756","11","156499","327","1614741","22865","41","807","12507","698"
06_029,"0","77","0","10432","3177","429","56","27062","0","1963","0","1293335","375114","185","97951","5972","491"
06_080,"0","376","0","3472","6613","2077","181","35501","0","0","0","1352452","414295","0","30","1121","312"
06_176,"0","376","0","2739","5617","2074","184","19485","0","0","0","1402019","383176","0","0","628","118"
06_076,"0","14","0","2519","384","13","9","12156","0","0","0","1561567","199095","0","0","39841","646"
06_028,"0","65","0","7983","650","31","12","91","333","93145","981","1563725","128114","9","6857","13545","874"
06_130,"725730","1","0","3189","1173","102","13","1643","0","0","0","1045300","39049","0","0","4","27"
06_133,"0","3","0","11403","273","4","0","551","10","369234","58783","1069987","277382","38","25030","848","2697"
06_900,"0","1113","0","30596","3110","456","101","1853","55","66960","1281","1290819","379206","159","39770","392","373"
06_082,"0","3999","0","49985","24178","10375","1466","43999","865","172066","3558","1293128","194749","2192","14766","834","259"
06_033,"0","41","0","16207","393","35","8","275","5","219820","10346","1069953","369840","267","129066","161","0"
06_901,"0","27","0","3694","116","1","0","7","18","347394","48095","1151141","265439","0","331","149","4"
06_081,"0","361","0","16676","1646","400","53","313","572","14536","44","1450804","314945","1429","4989","5673","3978"
06_083,"0","556","0","22869","1763","320","68","666","15","17483","8","1406241","284413","251","81714","49","1"
06_032,"111557","1376","0","13939","827","193","29","13","31","257719","3562","823949","596578","24","59","2004","4394"
06_031,"490441","509","0","29724","1598","573","192","134","786","28449","65","815910","434320","2415","4452","5047","1798"
07_025,"0","23454","0","60057","11698","3303","1340","770","285663","6232","84868","5536","12358","242660","839531","230330","8612"
07_027,"0","89023","0","72830","19287","2708","643","23292","645747","90440","365602","20937","44221","440833","4","644","202"
07_029,"0","94527","0","163315","119292","64684","23722","6354","594531","16725","66148","5619","16067","643339","129","1826","138"
07_028,"0","1266","0","66146","4867","398","100","881","1380260","32293","37885","12021","26082","253079","1","974","165"
07_026,"0","7526","0","58273","14873","2700","713","11845","819573","52548","301986","20532","32015","490281","2227","1262","61"
07_023,"0","2075","0","62802","3533","332","46","415","1445442","61777","55136","14954","23369","146071","0","381","84"
07_019,"0","28256","0","54151","17632","3808","1736","6159","328999","17919","128578","6525","17971","391684","652236","156299","4462"
07_902,"0","11440","0","49260","13147","1887","282","430","1161561","188948","99019","9533","13989","265927","96","587","302"
07_900,"0","12216","0","56612","8162","849","125","807","934015","419045","93882","25656","29151","231247","2","3208","1266"
07_117,"0","82822","0","56988","12218","4370","1616","1943","16613","526","43386","3127","1697","8253","1371189","204134","7366"
07_016,"0","29087","0","60885","12378","3744","871","3848","20508","1816","110035","1487","979","39126","1400684","127215","3751"
07_021,"0","126292","0","79170","25153","7423","5455","8383","536500","216530","300402","38370","40280","429375","51","1554","1474"
07_020,"0","4813","0","54292","8532","4058","2770","3475","854941","303912","191675","70890","45997","270052","7","764","240"
07_022,"0","95313","0","62725","27970","5706","1194","4587","393894","374739","94406","30970","40347","597438","49758","9937","27254"
07_024,"0","59378","0","100224","100107","40048","16063","4860","422993","53570","201690","12872","23352","545219","167139","46566","22328"
07_018,"0","36500","0","62372","12870","4102","1394","1128","94066","9181","22041","945","2440","43091","1275856","237984","12102"
07_901,"0","33717","0","50271","18911","3725","610","4101","308767","506094","309473","36046","28421","462437","36439","12666","4565"
07_015,"0","16030","0","55406","16041","2848","899","2979","211091","548898","517615","46349","45521","340585","20","10700","1266"
07_008,"0","138218","0","44580","9126","4223","1961","11919","7484","1258","53114","847","3984","5795","1115519","399993","18219"
07_109,"0","91203","0","63726","13194","6870","2934","3526","49019","9054","41676","237","195","5449","1122975","399857","6328"
07_014,"0","132520","0","146348","53958","20904","7849","7970","449960","435068","319434","49698","72633","118267","13","1360","430"
07_111,"0","22867","0","123355","48616","15626","5507","8172","547328","403091","174864","75963","139938","182208","380","65048","3449"
07_012,"0","5356","0","51119","41268","3629","1247","1021","102072","791328","26062","97479","100529","103367","9308","467718","14908"
07_013,"0","58819","0","71259","16819","4575","1485","3629","217381","792667","192404","111077","130507","174060","14712","26460","557"
07_103,"0","4243","0","44226","28585","1289","143","824","73916","994367","18712","124263","129624","59756","1678","327419","7196"
07_010,"0","97426","0","46019","8650","2642","856","4231","1272","5054","8077","530","459","96","1134653","479571","26703"
07_903,"0","7234","0","56683","53926","8248","1689","5188","48133","949008","6572","77438","106832","55990","6481","419433","13387"
07_007,"0","59461","0","47967","15008","3088","1096","10224","171062","335675","77543","56889","53849","474358","138970","348446","22607"
07_006,"0","63208","0","46867","28290","7765","3828","3557","220634","374956","116712","58549","61773","565804","71448","177133","15716"
07_004,"0","18569","0","52152","51455","8377","1746","5144","35023","767580","10291","68442","94993","54665","8203","622457","17314"
07_005,"0","57905","0","42456","26472","4635","1040","3024","122569","885796","62486","74552","67338","164731","88263","202758","12216"
07_001,"0","50571","0","35703","60448","8115","2352","1947","26582","727616","23922","130133","55902","26418","44611","593130","28791"
07_002,"0","63802","0","47395","7227","1318","248","2811","584","34769","4386","3189","251","347","1377303","254414","18364"
14_001,"0","5323","0","105472","3266","734","135","1430","5286","991700","30238","203244","456439","5236","1","7227","693"
14_003,"0","21069","0","23618","2078","397","100","7615","2895","745999","2371","461205","241531","197605","89685","6783","13447"
14_004,"236435","513970","0","58670","12367","8714","2452","10209","24590","553289","124878","150643","50939","38872","175","6464","23755"
14_005,"348667","308579","0","32214","2650","700","40","10004","37777","628437","65837","209598","163631","592","0","1907","5777"
14_006,"0","10733","0","69599","3949","894","137","13073","87558","1155116","86526","227653","154381","1955","162","2197","2124"
14_007,"0","15659","0","82147","31788","26592","8231","4531","20426","89496","11443","790978","606264","70748","5770","27500","24845"
14_009,"0","66637","0","17468","834","44","3","2334","8","876591","303","658120","111011","6876","10802","9698","55690"
14_011,"0","4390","0","91748","1118","201","24","3201","31057","860622","117779","649826","33822","16723","4088","655","1153"
14_012,"0","18482","0","42871","28415","16787","3484","331","1365","2480","3057","64052","97144","476","1390121","17904","129277"
14_014,"441911","290235","0","33427","3057","1693","1289","100","23168","787590","60322","150868","17129","0","2","3803","1632"
14_015,"0","3597","0","26328","2552","288","46","3664","628","25941","25712","955487","664676","271","105546","916","758"
14_016,"0","243902","0","46668","35670","65047","20173","5327","0","16","157","36830","384198","15389","751145","4594","207297"
14_018,"0","7961","189","3896","1610","337","22","52077","4070","603735","561","1074728","47275","0","0","9929","10023"
14_020,"0","28886","0","77676","99938","153941","58706","709","0","0","0","60","6382","4611","1374221","5038","6241"
14_021,"0","30078","0","47721","39208","33443","8506","16008","368","144","328","29218","549293","86625","958392","12548","4525"
14_022,"0","21555","0","27791","6084","1454","573","215","8456","1102916","6038","411766","228374","0","13","583","594"
14_023,"0","3751","0","18729","3365","251","5","13557","90","199153","53","1359058","162066","13699","3862","6022","32757"
14_024,"0","5522","0","83050","77328","85134","34060","3321","0","0","0","0","9480","6366","1511681","73","225"
14_025,"0","2897","0","33260","17200","15765","2640","852","27","210371","109846","426268","772928","17930","186492","10923","8836"
14_026,"0","3829","0","52249","35710","15096","4099","1355","0","32","1866","27135","292122","7433","1375168","1","320"
14_027,"0","13312","0","109380","126481","200964","63526","4989","20","429","0","16820","419331","46627","800277","8972","5288"
14_028,"0","7652","0","21913","9146","4323","783","3165","44646","534358","9868","328663","739451","2545","95367","6606","7939"
14_029,"0","4","0","775","1053","311","4","232869","1","4163","9","1576305","467","0","0","432","6"
14_030,"0","16326","0","7617","4103","953","83","212072","18","71728","13","1470170","9172","1053","615","10726","11754"
14_031,"0","0","0","2881","2297","861","107","369130","100","76737","1093","1354288","6345","0","0","2532","37"
14_032,"0","1440","0","96078","23037","12276","1395","15395","21","17094","72504","249013","1100476","4681","201687","7208","14105"
14_033,"0","6801","0","76749","25595","13622","1399","9686","10","724","771","57885","679390","6081","933475","3092","962"
14_034,"0","18654","0","13958","4767","760","73","601","71","133793","53","1309246","293166","7377","1298","6320","26105"
14_035,"0","94","0","63682","8223","851","130","84678","0","5949","79","1625602","26759","52","31","80","29"
14_036,"0","0","0","5618","554","48","7","103726","0","0","0","1682364","24072","0","0","16","8"
14_037,"0","0","0","6664","4664","181","12","3103","17","17988","92","1746697","37001","0","0","0","0"
14_038,"1871","130208","0","46991","13250","3822","419","3556","15","257512","141642","716630","426006","9319","49887","4220","10877"
14_039,"0","42404","0","60818","17089","8661","809","1211","43","498172","149279","785643","221015","3866","18319","5111","3777"
14_040,"0","858","0","106881","18995","5555","804","29581","21997","79960","6188","1152728","311218","65145","15537","198","770"
14_041,"0","2122","0","87610","74895","30728","7627","28579","8","0","2","1390906","181893","6","156","10690","1023"
14_042,"0","47","0","50956","4431","762","55","3157","71","406142","25028","819589","485285","1327","13453","4385","1725"
14_043,"0","13","0","7267","2561","425","27","693838","0","0","0","878259","232724","1305","0","0","0"
14_044,"0","39239","0","17204","15613","6293","1472","195244","549","48","13","1372025","34124","7107","106955","13014","7512"
14_045,"736559","399561","0","50272","90149","322000","192299","1523","7","1000","1681","12210","3483","3931","603","103","1032"
14_046,"0","40079","0","215448","142573","162189","19073","8768","10","150","104","467470","518897","18285","213755","1704","7905"
14_047,"0","10351","0","81414","12558","14708","978","3822","317","92655","68240","1234263","240541","24628","14508","6640","10617"
14_048,"0","3722","0","25842","21582","3402","395","341777","7","2","0","768444","221536","32894","387868","4634","4137"
14_049,"0","13266","0","20147","23619","7685","1529","213426","1540","1","542","967982","40331","14327","478312","27303","6396"
14_050,"605372","226267","0","90620","119464","286086","100116","3547","0","431","537","275381","82201","3791","2124","9208","11272"
14_051,"0","416","0","41528","4686","450","78","575581","43","58823","19237","890175","204739","21","30","5172","15436"
14_052,"0","4507","0","54958","33166","31185","7061","665","31","103391","306289","339313","668093","15534","237409","7088","7595"
14_053,"0","489","0","16612","1313","342","74","3370","0","14477","242598","913521","614702","2023","2136","1276","3315"
14_054,"0","18777","0","31664","10382","8741","2000","1894","5855","266253","286","276812","787805","10548","387230","5624","2384"
14_055,"0","3901","0","15170","4131","943","130","1049","60824","806299","12638","291476","594825","824","10728","6768","6727"
14_056,"0","0","0","5400","2297","530","91","342302","0","3641","1","1460068","1894","0","0","9","1"
14_057,"433479","372658","0","45579","37617","31390","3045","1403","2","110763","127057","356255","243109","3924","30943","5184","13670"
14_058,"0","1","0","37","59","47","0","325124","0","84102","0","1401455","5570","0","0","21","0"
14_059,"0","21","0","36726","18382","11315","2307","56969","0","0","0","1688043","2318","278","0","0","51"
14_060,"0","270","0","35488","17255","7819","1748","113265","0","0","1","1605575","25937","408","6048","2291","306"
14_062,"0","0","0","15434","2692","290","93","36242","0","6816","36","1693450","60262","0","0","1063","31"
14_063,"0","6375","0","12211","6118","2686","714","423400","10","0","0","1361912","2821","123","0","10","30"
14_064,"0","10","0","6108","3618","582","43","259338","7","24940","110","1474485","41705","0","0","5183","275"
14_065,"0","4","0","7421","4779","801","84","332453","0","0","0","1433041","34638","0","0","221","2975"
14_066,"0","9590","0","69999","20434","8289","1457","54392","285","434891","28817","909636","275170","68","0","1700","1683"
14_067,"0","0","0","6114","1838","64","0","981","0","2138","0","1701007","104267","0","0","0","0"
14_068,"0","0","0","8643","2034","174","14","98686","0","1410","0","1521269","184189","0","0","0","0"
14_069,"0","99","0","3747","577","55","7","571602","0","1","0","1225514","14807","0","0","0","0"
14_070,"0","460074","0","10391","13229","7832","440","239380","1","17","0","790487","212352","720","70802","6219","4463"
14_071,"128266","351954","0","79754","48473","43623","7235","1241","33458","299639","121179","361961","235755","1580","28988","8544","64760"
14_073,"0","36802","0","18966","4971","1168","154","1567","65","109855","8","1090858","371195","39534","50697","9787","80619"
14_075,"72310","272581","0","53731","12522","7410","789","20747","54320","700012","98293","184523","170277","118918","368","6651","42971"
14_076,"0","6499","0","3255","3271","579","0","283","1701","101452","11613","1213341","404970","19126","1718","36452","12157"
14_077,"0","94226","0","18804","3798","1403","179","1546","34873","1252520","48689","225474","134258","295","0","112","61"
14_078,"0","15108","0","21578","6293","1605","506","240","3261","1473342","4932","257574","12898","3513","48","2522","12837"
14_079,"0","11294","0","45005","35347","35481","7846","3628","40166","305847","12447","441419","404376","11643","425876","21343","14698"
14_080,"0","13309","0","41191","17850","11257","3511","20451","307","23","10","100824","626456","27187","917802","6343","29726"
14_081,"181708","285873","0","82832","5956","2376","359","455","18891","1081854","23088","73241","33252","175","593","23050","2685"
14_082,"0","11225","0","8575","4962","766","22","5908","2715","692414","772","946787","114629","622","255","9160","17604"
14_083,"381997","538960","0","83933","60779","55147","13170","1154","29236","248544","82204","188159","87586","1481","13983","6162","23913"
14_084,"0","92","0","5892","2576","308","6","27271","6079","319619","4541","1331940","93684","519","0","13335","10378"
14_085,"0","0","0","36094","4831","1075","445","60978","0","28","0","1536520","175202","741","69","283","148"
14_086,"0","38058","0","6771","3907","2072","494","16845","2","11","0","1717908","22349","2","0","1665","6348"
14_088,"0","0","0","3817","2266","578","9","40287","0","529","8","1699462","69269","0","0","18","0"
