U_S_R_I,HISTO_0,HISTO_11,HISTO_12,HISTO_21,HISTO_22,HISTO_23,HISTO_24,HISTO_31,HISTO_41,HISTO_42,HISTO_43,HISTO_52,HISTO_71,HISTO_81,HISTO_82,HISTO_90,HISTO_95
83_237,"0","30238","0","94306","77618","54209","15001","5461","136898","63505","160560","18243","21065","900592","68714","156980","13021"
83_034,"0","98214","0","69992","63536","14970","4097","1601","8648","710225","96268","42383","57491","516426","53","124844","7661"
83_238,"0","10404","0","112004","63441","48846","12312","17148","183947","518409","1315","339583","496400","1166","6642","4537","81"
83_325,"0","1305","0","38254","5790","2809","1230","990","41407","246940","1132","1386924","46784","24090","18370","373","13"
83_042,"0","2934","0","20322","569","58","2","596","46149","137313","309","1567001","30889","3641","6245","358","29"
83_088,"0","0","0","11820","3691","1046","277","58","13120","86797","418","1338677","360329","0","0","0","5"
83_323,"0","63761","0","76722","23680","9838","3098","3075","225551","52207","53102","19095","12139","1171314","30974","66775","4909"
83_087,"0","0","0","7259","1947","377","34","148","0","35","0","1637441","166122","0","0","1812","1079"
83_328,"0","2131","0","5658","2845","684","48","302","416","3783","103","1425820","367469","0","0","5233","1959"
83_140,"0","4593","0","59988","26381","10486","1948","1781","210961","635159","476","708425","154242","784","0","1172","26"
83_326,"0","587","0","10326","1124","146","14","55","60906","116515","52","1621296","5125","0","67","32","0"
83_324,"0","21583","0","150592","65684","59132","29012","9210","197294","65691","108931","355696","119267","442967","125584","64401","1372"
83_327,"0","31","0","9458","4328","986","104","78","12546","20674","580","1766672","273","0","0","471","44"
83_311,"0","46316","0","68814","140333","48249","27155","5536","104","6056","8687","2264","9770","824481","185390","137944","305141"
83_028,"0","3279","0","65225","16844","4620","1211","1276","132574","450889","318","1062410","68663","3327","5313","459","11"
83_027,"0","11278","0","121583","31946","21652","8352","4217","175510","39615","55549","355765","149763","525955","266840","47545","844"
83_318,"698","3047","0","4549","1872","440","31","291","4","201","0","1774626","27361","0","0","2822","506"
83_023,"0","20456","0","119036","104298","129776","35602","9025","28484","15062","14183","11887","13587","1057614","160169","75550","21514"
83_316,"0","1261","0","16201","2534","429","100","551","85434","531616","199","1174159","937","249","452","2228","63"
83_184,"0","22","0","4112","859","45","0","752","79","230","0","1768549","41273","0","0","357","125"
83_021,"0","337079","0","21958","30422","5520","1767","2457","129","7205","26330","2997","14461","671056","187528","138033","369130"
83_081,"99975","13347","0","6896","1695","443","66","334","1202","588","103","1678136","5847","0","0","5969","1824"
83_313,"0","21873","0","72631","15641","6044","2205","5191","76903","67183","25144","12310","6978","1037770","366952","90139","9454"
83_020,"19908","333366","0","17406","32752","5965","1677","4478","163","2696","3527","1430","9437","664667","179057","44973","494914"
83_114,"0","321","0","6788","1511","149","10","138","54442","124281","897","1626967","691","0","0","40","11"
83_320,"888125","174","0","4269","6056","1499","366","189","148","0","0","883729","2674","0","11886","16820","138"
83_377,"793484","61","0","927","375","12","0","91","9","238","0","1008802","11160","0","0","1175","55"
83_026,"0","6366","0","65359","11922","3047","1006","997","142843","51081","47471","205437","5388","1193390","10666","68820","2627"
83_031,"0","1681","0","28927","3162","592","152","821","43972","709735","326","960513","21853","1039","33970","9334","165"
83_083,"50287","26","0","2748","1380","69","0","184","0","605","0","1733919","26594","0","0","345","67"
83_025,"0","34977","0","48343","9583","1734","449","7963","179082","156749","68458","40287","10649","388279","824155","39017","6692"
83_317,"0","2489","0","12152","1892","252","51","7415","59597","219330","434","1495620","9539","11","2893","4547","191"
83_900,"0","3","0","3584","1549","80","0","2229","751","55505","5","1716008","36223","0","0","211","246"
83_029,"0","18914","0","82720","24390","6460","2413","9647","217045","8044","35661","518589","6211","748538","110563","26006","1211"
83_082,"11073","3","0","4129","1810","130","2","1825","790","56141","11","1710420","27479","0","0","2349","235"
83_312,"0","50325","0","79413","44098","31849","6792","2822","56074","16914","57482","40567","40776","601905","473904","294889","18607"
83_314,"0","10059","0","58538","18935","6846","1903","846","305970","53802","72424","336544","13835","863540","7558","62670","2771"
83_319,"299670","16","0","4246","1427","106","0","9510","3159","55379","15","1398777","39139","0","0","4915","35"
83_022,"0","117966","0","103119","55728","18630","7589","5679","23364","23600","31127","41062","72743","373831","477434","203477","261072"
83_030,"0","5707","0","47142","7583","2563","981","1302","44826","52590","21356","1297652","51353","9939","260980","11432","840"
83_024,"0","3881","0","40246","4363","708","107","1285","272178","169599","137435","171676","17985","904450","35249","50742","6344"
83_019,"0","5081","0","17059","7562","1683","340","1295","6033","2101","2240","1426013","30643","3933","286264","23287","2706"
83_015,"0","9929","0","47972","41994","15282","3406","2790","22731","3052","25519","649723","4750","845373","114693","26626","2575"
83_011,"0","131184","0","48761","20860","5604","2278","8944","95882","87241","103266","88197","88783","389987","134163","299127","311972"
83_214,"0","25139","0","64985","19627","10880","4500","4180","248495","72182","113248","289984","10985","905504","8595","33625","4313"
83_315,"0","3907","0","42370","27324","6389","1389","1488","9573","186","11081","810691","9143","655574","216683","17218","3399"
